Year,Month,Republic of Moldova,France ,Portugal,Luxembourg,Norway,Romania,Japan,Italy,Germany,UK
2005,January,101.1,86.52,84.86,80.2,81.2,62.53,95.29,83.57,80.88,78.3
2005,February,103.2,87.05,84.82,81.46,81.3,62.9,95,83.84,81.23,78.5
2005,March,104,87.6,85.11,81.61,81.7,63.08,95.29,84.11,81.59,78.8
2005,April,105.5,87.77,85.69,81.9,82.1,64.23,95.39,84.24,81.41,79.1
2005,May,105.6,87.83,86.05,82.01,82.4,64.41,95.49,84.51,81.59,79.4
2005,June,104.7,87.93,86.07,82.05,82.4,64.6,95.09,84.51,81.67,79.4
2005,July,103.5,87.8,86.33,81.53,82.2,65.22,95,84.84,82.03,79.5
2005,August,103.7,88.14,86.42,82.62,82.3,65.28,95.09,84.97,82.12,79.7
2005,September,104.9,88.48,86.59,82.89,82.9,65.65,95.39,84.97,82.21,79.9
2005,October,106.5,88.46,86.99,83.35,83,66.22,95.39,85.17,82.29,80
2005,November,108.5,88.28,87.36,83.08,83,67.02,95,85.24,82.03,80
2005,December,110,88.39,87.44,82.93,82.9,67.39,95.09,85.24,82.65,80.3
2006,January,101.9,88.3,87.15,82.51,82.7,68.08,95.19,85.44,82.38,80
2006,February,103.3,88.64,87.33,83.88,83.4,68.25,94.9,85.64,82.74,80.2
2006,March,104.8,88.89,88.43,84.04,83.6,68.39,95.09,85.84,82.74,80.4
2006,April,105.9,89.27,88.89,84.3,84.3,68.67,95.29,86.1,83,80.9
2006,May,107.2,89.65,89.27,84.59,84.3,69.08,95.59,86.37,83,81.3
2006,June,107.4,89.65,89.23,84.65,84.2,69.19,95.59,86.44,83.18,81.5
2006,July,107,89.5,89.02,83.92,83.9,69.26,95.29,86.7,83.53,81.5
2006,August,107.9,89.8,88.88,84.94,83.9,69.21,95.98,86.84,83.36,81.8
2006,September,109.1,89.6,89.25,84.85,85.1,69.25,95.98,86.77,83.09,81.9
2006,October,110.8,89.4,89.32,84.64,85.2,69.39,95.78,86.7,83.18,82
2006,November,112.7,89.5,89.44,84.73,85.1,70.15,95.29,86.77,83.18,82.2
2006,December,114.1,89.71,89.64,84.86,84.7,70.67,95.39,86.84,83.8,82.6
2007,January,100.8,89.4,89.39,84.38,83.7,70.82,95.19,86.9,83.8,82.1
2007,February,101.4,89.57,89.38,85.56,84,70.84,94.7,87.17,84.15,82.4
2007,March,102,89.95,90.49,85.84,84.5,70.89,95,87.3,84.33,82.8
2007,April,103,90.39,91.32,86.06,84.5,71.26,95.29,87.43,84.77,83.1
2007,May,103.9,90.61,91.45,86.21,84.6,71.72,95.59,87.7,84.77,83.3
2007,June,103.9,90.72,91.4,86.37,84.5,71.82,95.39,87.9,84.77,83.5
2007,July,105,90.49,91.14,85.48,84.3,72.02,95.29,88.1,85.21,83.1
2007,August,107.3,90.86,90.71,86.53,84.2,72.64,95.78,88.23,85.13,83.4
2007,September,109,90.96,91.12,86.62,84.8,73.43,95.78,88.23,85.3,83.5
2007,October,110.7,91.19,91.62,87.11,85,74.14,96.08,88.5,85.48,83.8
2007,November,112.1,91.69,91.93,87.44,86.4,74.83,95.88,88.83,85.92,84.1
2007,December,113.1,92.03,92.04,87.71,87.1,75.31,96.08,89.1,86.45,84.5
2008,January,101.4,91.92,91.92,87.2,86.7,75.96,95.88,89.5,86.19,84.1
2008,February,102.9,92.12,91.93,88.18,87.2,76.49,95.68,89.7,86.54,84.6
2008,March,104.1,92.81,93.29,88.84,87.2,77.01,96.18,90.16,86.98,84.9
2008,April,105.8,93.12,93.58,89.06,87.2,77.41,96.08,90.36,86.81,85.6
2008,May,107.5,93.62,93.99,89.64,87.2,77.78,96.86,90.83,87.34,86.1
2008,June,106.2,93.96,94.47,90.08,87.4,78,97.26,91.23,87.52,86.6
2008,July,105.3,93.76,93.92,89.64,87.9,78.54,97.45,91.69,88.05,86.6
2008,August,106,93.73,93.44,89.99,88,78.47,97.75,91.83,87.78,87.1
2008,September,106.7,93.67,93.94,90.09,89.3,78.78,97.75,91.56,87.69,87.5
2008,October,107.5,93.62,93.8,89.95,89.6,79.62,97.65,91.56,87.52,87.3
2008,November,107.6,93.18,93.2,89.19,89.1,79.88,96.86,91.23,87.07,87.3
2008,December,107.3,92.95,92.76,88.67,89,80.06,96.47,91.09,87.43,87.1
2009,January,99.9,92.57,92.16,87.67,88.7,81.05,95.88,90.96,86.98,86.6
2009,February,98.8,92.92,92.11,89.23,89.4,81.76,95.59,91.16,87.52,87.2
2009,March,98,93.09,92.84,89.07,89.4,82.17,95.88,91.23,87.34,87.3
2009,April,98.3,93.24,93.08,89.3,89.7,82.4,95.98,91.43,87.43,87.5
2009,May,98.5,93.38,92.89,89.38,89.9,82.41,95.78,91.63,87.34,87.9
2009,June,98.2,93.5,92.96,89.83,90.4,82.57,95.59,91.69,87.6,88.1
2009,July,97.6,93.08,92.47,89.03,89.9,82.52,95.29,91.69,87.6,88
2009,August,96.6,93.56,92.2,90.2,89.7,82.36,95.59,91.96,87.78,88.3
2009,September,97.1,93.33,92.38,90.1,90.4,82.68,95.59,91.76,87.52,88.3
2009,October,98.6,93.42,92.43,90.02,90.2,83.04,95.19,91.83,87.52,88.4
2009,November,99.5,93.55,92.65,90.38,90.5,83.59,95,91.83,87.43,88.6
2009,December,100.4,93.8,92.71,90.26,90.8,83.86,94.8,92.03,88.13,88.9
2010,January,102.4,93.59,92.27,89.52,90.9,85.27,94.9,92.16,87.6,88.8
2010,February,104.8,94.11,92.3,90.59,92,85.43,94.9,92.22,87.96,89
2010,March,105.5,94.57,93.37,91.1,92.5,85.62,95.1,92.49,88.4,89.4
2010,April,105.8,94.81,93.75,91.37,92.7,85.92,95.1,92.82,88.49,89.9
2010,May,105.9,94.92,93.88,91.54,92.2,86.05,95.1,92.89,88.4,90.1
2010,June,105.4,94.91,94.06,91.53,92.1,86.18,94.9,92.89,88.4,90.2
2010,July,104.7,94.64,94.22,91.23,91.6,88.4,94.4,93.22,88.58,90
2010,August,103.7,94.86,94.03,92.21,91.4,88.6,94.5,93.42,88.67,90.4
2010,September,104.5,94.79,94.2,92.24,92,89.1,94.7,93.22,88.58,90.4
2010,October,106.1,94.91,94.6,92.34,92.1,89.59,95,93.42,88.67,90.6
2010,November,106.7,95.02,94.77,92.47,92.3,90.05,94.7,93.42,88.75,90.9
2010,December,108.1,95.45,95.05,92.76,93.3,90.53,94.5,93.76,89.28,91.7
2011,January,101.1,95.22,95.59,92.35,92.7,91.23,94.4,94.14,89.11,91.8
2011,February,102.4,95.67,95.59,93.82,93.1,91.93,94.4,94.42,89.64,92.3
2011,March,103.3,96.45,97.13,94.5,93.4,92.48,94.6,94.79,90.17,92.6
2011,April,104.3,96.78,97.53,94.78,93.9,93.09,94.7,95.26,90.17,93.3
2011,May,104.9,96.83,97.48,94.83,93.7,93.29,94.7,95.35,90.17,93.5
2011,June,105,96.91,97.26,94.75,93.4,93.02,94.6,95.44,90.26,93.5
2011,July,104.9,96.48,97.19,93.88,93.1,92.69,94.6,95.72,90.44,93.5
2011,August,104.8,96.98,96.76,95.22,92.6,92.37,94.7,96,90.52,93.9
2011,September,105.2,96.91,97.55,95.32,93.4,92.18,94.7,96,90.7,94.5
2011,October,106.8,97.14,98.57,95.46,93.3,92.77,94.8,96.56,90.7,94.5
2011,November,107.6,97.41,98.5,95.76,93.3,93.15,94.2,96.47,90.88,94.7
2011,December,107.8,97.8,98.48,95.71,93.4,93.37,94.3,96.84,91.05,95
2012,January,100.3,97.46,98.95,95.06,93.2,93.71,94.5,97.12,90.97,94.7
2012,February,100.8,97.86,99.03,96.67,94.2,94.31,94.7,97.49,91.59,95.2
2012,March,101,98.67,100.18,97,94.1,94.7,95.1,97.95,92.12,95.4
2012,April,101.2,98.8,100.47,97.32,94.2,94.77,95.2,98.42,91.94,95.9
2012,May,101.2,98.75,100.11,97.18,94.2,94.95,94.9,98.42,91.94,95.9
2012,June,101,98.78,99.89,97.11,93.7,94.92,94.4,98.6,91.76,95.6
2012,July,101.1,98.35,99.88,96.2,93.3,95.47,94.1,98.7,92.12,95.7
2012,August,101.5,99,99.74,97.68,92.9,95.96,94.3,99.07,92.47,96.1
2012,September,102.4,98.76,100.36,98.1,93.9,97.09,94.4,99.07,92.56,96.4
2012,October,103,98.94,100.67,98.23,94.3,97.37,94.4,99.07,92.56,96.8
2012,November,103.5,98.79,100.36,98.16,94.4,97.4,94.1,98.88,92.65,97
2012,December,104.1,99.1,100.37,97.93,94.7,97.99,94.1,99.07,92.91,97.3
2013,January,100.9,98.6,99.12,97.05,94.5,99.31,94.2,99.26,92.47,97
2013,February,101.1,98.88,99,98.9,95.1,99.64,94,99.35,93,97.5
2013,March,101.2,99.63,100.64,98.91,95.4,99.68,94.2,99.53,93.44,97.8
2013,April,101.6,99.48,100.65,99,95.9,99.78,94.5,99.53,93,98
2013,May,102.8,99.54,100.82,98.78,96,100.01,94.6,99.53,93.36,98.2
2013,June,102.3,99.7,100.87,99.11,95.7,100.02,94.6,99.81,93.44,98
2013,July,101.3,99.4,100.64,97.97,96.1,99.68,94.8,99.91,93.89,98
2013,August,101.1,99.86,99.89,99.4,96,99.48,95.1,100.28,93.89,98.4
2013,September,102.3,99.63,100.47,99.57,96.4,98.91,95.4,100,93.89,98.7
2013,October,103.6,99.5,100.43,99.37,96.6,99.2,95.5,99.81,93.71,98.8
2013,November,104.4,99.46,100.2,99.37,96.7,99.19,95.5,99.53,93.89,98.8
2013,December,105.2,99.8,100.56,99.44,96.6,99.51,95.6,99.72,94.24,99.2
2014,January,100.8,99.24,99.18,98.54,96.6,100.36,95.5,99.91,93.71,98.7
